Vaccine,Geographic Level,Geographic Name,Demographic_Level,Demographic Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 1,2024-01-06,7.4337,7.5215,44,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,January Week 1,2024-01-06,8.1148,1.9208,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,January Week 1,2024-01-06,8.1148,1.9208,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 1,2024-01-06,22.1792,17.871,44,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 1,2024-01-06,62.2723,25.98,44,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 2,2024-01-13,54.7067,14.5878,71,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 2,2024-01-13,12.2308,8.84,71,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 2,2024-01-13,24.4616,12.5845,71,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,January Week 2,2024-01-13,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,January Week 2,2024-01-13,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 3,2024-01-20,48.853,18.1866,59,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 3,2024-01-20,13.5762,14.6268,59,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 3,2024-01-20,28.9697,16.699,59,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,January Week 3,2024-01-20,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,January Week 3,2024-01-20,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,January Week 4,2024-01-27,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,2024-01-27,60.2466,20.1237,46,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,2024-01-27,3.1807,3.636,46,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,2024-01-27,27.9716,20.5637,46,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,January Week 4,2024-01-27,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,February Week 1,2024-02-03,40.0576,19.8955,52,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,February Week 1,2024-02-03,5.2658,6.5593,52,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,February Week 1,2024-02-03,46.0756,21.6629,52,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,February Week 1,2024-02-03,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,February Week 1,2024-02-03,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,February Week 2,2024-02-10,17.6384,20.2419,37,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,February Week 2,2024-02-10,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,February Week 2,2024-02-10,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,February Week 2,2024-02-10,34.2746,28.4368,37,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,February Week 2,2024-02-10,39.486,29.2854,37,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,February Week 3,2024-02-17,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,February Week 3,2024-02-17,48.5021,23.0306,56,0
