State,Season,_WeekendDate,AgeCategory_Legend,Sex_Label,Race_Label,Type,WeeklyRate,CumulativeRate
Utah,2024-25,2025-07-05,6mo-<12 months,All,All,Crude Rate,0,67.4
Utah,2024-25,2025-06-28,6mo-<12 months,All,All,Crude Rate,0,67.4
Utah,2024-25,2025-06-21,6mo-<12 months,All,All,Crude Rate,0,67.4
Utah,2024-25,2025-06-14,6mo-<12 months,All,All,Crude Rate,0,67.4
Utah,2024-25,2025-06-07,6mo-<12 months,All,All,Crude Rate,0,67.4
Utah,2024-25,2025-05-31,6mo-<12 months,All,All,Crude Rate,0,67.4
Utah,2024-25,2025-05-24,6mo-<12 months,All,All,Crude Rate,0,67.4
Utah,2024-25,2025-05-17,6mo-<12 months,All,All,Crude Rate,13.5,67.4
Utah,2024-25,2025-05-10,6mo-<12 months,All,All,Crude Rate,0,53.9
Utah,2024-25,2025-05-03,6mo-<12 months,All,All,Crude Rate,0,53.9
Utah,2024-25,2025-04-26,6mo-<12 months,All,All,Crude Rate,0,53.9
Utah,2024-25,2025-04-19,6mo-<12 months,All,All,Crude Rate,0,53.9
Utah,2024-25,2025-04-12,6mo-<12 months,All,All,Crude Rate,0,53.9
Utah,2024-25,2025-04-05,6mo-<12 months,All,All,Crude Rate,0,53.9
Utah,2024-25,2025-03-29,6mo-<12 months,All,All,Crude Rate,0,53.9
Utah,2024-25,2025-03-22,6mo-<12 months,All,All,Crude Rate,0,53.9
Utah,2024-25,2025-03-15,6mo-<12 months,All,All,Crude Rate,13.5,53.9
Utah,2024-25,2025-03-08,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2025-03-01,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2025-02-22,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2025-02-15,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2025-02-08,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2025-02-01,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2025-01-25,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2025-01-18,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2025-01-11,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2025-01-04,6mo-<12 months,All,All,Crude Rate,0,40.5
Utah,2024-25,2024-12-28,6mo-<12 months,All,All,Crude Rate,13.5,40.5
Utah,2024-25,2024-12-21,6mo-<12 months,All,All,Crude Rate,0,27
Utah,2024-25,2024-12-14,6mo-<12 months,All,All,Crude Rate,13.5,27
Utah,2024-25,2024-12-07,6mo-<12 months,All,All,Crude Rate,0,13.5
Utah,2024-25,2024-11-30,6mo-<12 months,All,All,Crude Rate,0,13.5
Utah,2024-25,2024-11-23,6mo-<12 months,All,All,Crude Rate,0,13.5
Utah,2024-25,2024-11-16,6mo-<12 months,All,All,Crude Rate,13.5,13.5
Utah,2024-25,2024-11-09,6mo-<12 months,All,All,Crude Rate,0,0
Utah,2024-25,2024-11-02,6mo-<12 months,All,All,Crude Rate,0,0
Utah,2024-25,2024-10-26,6mo-<12 months,All,All,Crude Rate,0,0
Utah,2024-25,2024-10-19,6mo-<12 months,All,All,Crude Rate,0,0
Utah,2024-25,2024-10-12,6mo-<12 months,All,All,Crude Rate,0,0
Utah,2024-25,2024-10-05,6mo-<12 months,All,All,Crude Rate,0,0
Oregon,2024-25,2025-07-05,6mo-<12 months,All,All,Crude Rate,0,23.8
Oregon,2024-25,2025-06-28,6mo-<12 months,All,All,Crude Rate,0,23.8
Oregon,2024-25,2025-06-21,6mo-<12 months,All,All,Crude Rate,0,23.8
Oregon,2024-25,2025-06-14,6mo-<12 months,All,All,Crude Rate,0,23.8
Oregon,2024-25,2025-06-07,6mo-<12 months,All,All,Crude Rate,11.9,23.8
Oregon,2024-25,2025-05-31,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-05-24,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-05-17,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-05-10,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-05-03,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-04-26,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-04-19,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-04-12,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-04-05,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-03-29,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-03-22,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-03-15,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-03-08,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-03-01,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-02-22,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-02-15,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-02-08,6mo-<12 months,All,All,Crude Rate,0,11.9
Oregon,2024-25,2025-02-01,6mo-<12 months,All,All,Crude Rate,0,11.9
