Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,indicator_label,indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,Current_Season_Week_Ending_Label,COVID_season,suppression_flag
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 4,09/28/2024 12:00:00 AM,9.8,4.61,127,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 4,09/28/2024 12:00:00 AM,35.1,7.5985,328,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 4,09/28/2024 12:00:00 AM,11.6,2.3533,9854,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 4,09/28/2024 12:00:00 AM,7.8,2.5596,9267,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,Up-to-date,Yes,September Week 4,09/28/2024 12:00:00 AM,6.8,6.3545,2721,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 4,09/28/2024 12:00:00 AM,49.8,21.2449,46,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,Up-to-date,Yes,September Week 4,09/28/2024 12:00:00 AM,4.9,1.8417,4777,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 4,09/28/2024 12:00:00 AM,41.2,5.7068,577,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 4,09/28/2024 12:00:00 AM,23.6,6.3427,328,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,Up-to-date,Yes,September Week 4,09/28/2024 12:00:00 AM,7.8,2.5596,9267,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 4,09/28/2024 12:00:00 AM,28.6,5.1908,577,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 4,09/28/2024 12:00:00 AM,6.8,6.3545,2721,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,Up-to-date,Yes,September Week 4,09/28/2024 12:00:00 AM,11.6,2.3533,9854,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 4,09/28/2024 12:00:00 AM,33.5,7.6944,328,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 4,09/28/2024 12:00:00 AM,9.2,6.3414,46,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 4,09/28/2024 12:00:00 AM,57.5,11.3397,127,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 4,09/28/2024 12:00:00 AM,27.8,10.6222,127,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 4,09/28/2024 12:00:00 AM,18.6,4.1136,577,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 4,09/28/2024 12:00:00 AM,4.9,1.8417,4777,09/28/2024 12:00:00 AM,2024-2025,0
